3
0 0 5
0 1 3 4.5 90
 
0 0 29
0.00
14.04
26.57
36.87
45.00
51.34
56.31
60.26
63.43
68.20
71.57
74.05
75.96
77.47
78.69
79.70
80.54
81.25
81.87
82.41
82.87
83.29
83.66
83.99
84.29
84.56
84.81
85.03
85.24
 
0 0 20
0    
2    
5    
10    
15    
20    
25    
30    
35    
40    
45    
60    
75    
90    
105    
120    
135    
150    
165
180

2.81	2.81	2.73	2.44	2.11	1.78	1.49	1.22	0.97	0.78	0.71	0.51	0.39	0.33	0.30	0.28	0.27	0.26	0.25	0.26
2.36	2.36	2.24	2.01	1.72	1.49	1.22	1.02	0.81	0.65	0.58	0.41	0.32	0.28	0.25	0.23	0.22	0.21	0.21	0.21
1.92	1.93	1.86	1.68	1.45	1.20	1.00	0.82	0.67	0.54	0.47	0.34	0.26	0.23	0.20	0.19	0.18	0.18	0.18	0.18
1.60	1.60	1.56	1.40	1.22	1.03	0.84	0.68	0.55	0.44	0.39	0.29	0.22	0.19	0.16	0.16	0.15	0.15	0.15	0.15
1.33	1.35	1.33	1.16	1.01	0.83	0.70	0.57	0.46	0.37	0.33	0.24	0.18	0.16	0.14	0.13	0.13	0.12	0.12	0.12
1.12	1.13	1.07	0.97	0.85	0.72	0.59	0.50	0.40	0.32	0.29	0.21	0.16	0.14	0.12	0.12	0.11	0.11	0.11	0.11
0.97	0.99	0.94	0.84	0.73	0.62	0.51	0.42	0.34	0.28	0.24	0.17	0.13	0.12	0.11	0.10	0.10	0.09	0.09	0.09
0.85	0.86	0.84	0.74	0.63	0.53	0.44	0.35	0.30	0.25	0.22	0.15	0.11	0.10	0.09	0.09	0.08	0.08	0.08	0.08
0.73	0.75	0.72	0.66	0.55	0.46	0.38	0.31	0.26	0.21	0.19	0.12	0.09	0.09	0.08	0.08	0.07	0.07	0.07	0.07
0.64	0.68	0.64	0.58	0.50	0.41	0.33	0.27	0.23	0.19	0.17	0.11	0.09	0.08	0.07	0.07	0.06	0.06	0.06	0.06
0.58	0.60	0.58	0.53	0.46	0.37	0.30	0.25	0.20	0.17	0.15	0.11	0.08	0.07	0.06	0.06	0.05	0.05	0.05	0.06
0.53	0.53	0.51	0.45	0.38	0.32	0.26	0.22	0.18	0.14	0.12	0.09	0.07	0.06	0.05	0.05	0.05	0.05	0.05	0.05


0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
